Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001155,Female,Yes,0,Not Graduate,No,1928,1644.0,100,360,1,Semiurban,true
LP001157,Female,No,0,Graduate,No,3086,0.0,120,360,1,Semiurban,true
LP001164,Female,No,0,Graduate,No,4230,0.0,112,360,1,Semiurban,false
LP001179,Male,Yes,2,Graduate,No,4616,0.0,134,360,1,Urban,false
LP001186,Female,Yes,1,Graduate,Yes,11500,0.0,286,360,0,Urban,false
LP001194,Male,Yes,2,Graduate,No,2708,1167.0,97,360,1,Semiurban,true
LP001195,Male,Yes,0,Graduate,No,2132,1591.0,96,360,1,Semiurban,true
LP001197,Male,Yes,0,Graduate,No,3366,2200.0,135,360,1,Rural,false
LP001198,Male,Yes,1,Graduate,No,8080,2250.0,180,360,1,Urban,true
LP001199,Male,Yes,2,Not Graduate,No,3357,2859.0,144,360,1,Urban,true
LP001205,Male,Yes,0,Graduate,No,2500,3796.0,120,360,1,Urban,true
LP001206,Male,Yes,3,Graduate,No,3029,0.0,99,360,1,Urban,true
LP001207,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165,180,0,Rural,false
LP001213,Male,Yes,1,Graduate,No,4945,0.0,146,360,0,Rural,false
LP001222,Female,No,0,Graduate,No,4166,0.0,116,360,0,Semiurban,false
LP001225,Male,Yes,0,Graduate,No,5726,4595.0,258,360,1,Semiurban,false
LP001228,Male,No,0,Not Graduate,No,3200,2254.0,126,180,0,Urban,false
LP001233,Male,Yes,1,Graduate,No,10750,0.0,312,360,1,Urban,true
LP001238,Male,Yes,3,Not Graduate,Yes,7100,0.0,125,60,1,Urban,true
LP001241,Female,No,0,Graduate,No,4300,0.0,136,360,0,Semiurban,false
LP001243,Male,Yes,0,Graduate,No,3208,3066.0,172,360,1,Urban,true
LP001245,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97,360,1,Semiurban,true
LP001248,Male,No,0,Graduate,No,3500,0.0,81,300,1,Semiurban,true
LP001250,Male,Yes,3,Not Graduate,No,4755,0.0,95,360,0,Semiurban,false
LP001253,Male,Yes,3,Graduate,Yes,5266,1774.0,187,360,1,Semiurban,true
LP001255,Male,No,0,Graduate,No,3750,0.0,113,480,1,Urban,false
LP001256,Male,No,0,Graduate,No,3750,4750.0,176,360,1,Urban,false
LP001259,Male,Yes,1,Graduate,Yes,1000,3022.0,110,360,1,Urban,false
LP001263,Male,Yes,3,Graduate,No,3167,4000.0,180,300,0,Semiurban,false
LP001264,Male,Yes,3,Not Graduate,Yes,3333,2166.0,130,360,1,Semiurban,true
LP001265,Female,No,0,Graduate,No,3846,0.0,111,360,1,Semiurban,true
LP001266,Male,Yes,1,Graduate,Yes,2395,0.0,146,360,1,Semiurban,true
LP001267,Female,Yes,2,Graduate,No,1378,1881.0,167,360,1,Urban,false
LP001273,Male,Yes,0,Graduate,No,6000,2250.0,265,360,1,Semiurban,false
LP001275,Male,Yes,1,Graduate,No,3988,0.0,50,240,1,Urban,true
LP001279,Male,No,0,Graduate,No,2366,2531.0,136,360,1,Semiurban,true
LP001280,Male,Yes,2,Not Graduate,No,3333,2000.0,99,360,1,Semiurban,true
LP001282,Male,Yes,0,Graduate,No,2500,2118.0,104,360,1,Semiurban,true
LP001289,Male,No,0,Graduate,No,8566,0.0,210,360,1,Urban,true
LP001310,Male,Yes,0,Graduate,No,5695,4167.0,175,360,1,Semiurban,true
LP001316,Male,Yes,0,Graduate,No,2958,2900.0,131,360,1,Semiurban,true
LP001318,Male,Yes,2,Graduate,No,6250,5654.0,188,180,1,Semiurban,true
LP001319,Male,Yes,2,Not Graduate,No,3273,1820.0,81,360,1,Urban,true
LP001322,Male,No,0,Graduate,No,4133,0.0,122,360,1,Semiurban,true
LP001325,Male,No,0,Not Graduate,No,3620,0.0,25,120,1,Semiurban,true
LP001326,Male,No,0,Graduate,No,6782,0.0,146,360,1,Urban,false
LP001327,Female,Yes,0,Graduate,No,2484,2302.0,137,360,1,Semiurban,true
LP001333,Male,Yes,0,Graduate,No,1977,997.0,50,360,1,Semiurban,true
LP001334,Male,Yes,0,Not Graduate,No,4188,0.0,115,180,1,Semiurban,true
LP001343,Male,Yes,0,Graduate,No,1759,3541.0,131,360,1,Semiurban,true
LP001345,Male,Yes,2,Not Graduate,No,4288,3263.0,133,180,1,Urban,true
LP001349,Male,No,0,Graduate,No,4843,3806.0,151,360,1,Semiurban,true
LP001350,Male,Yes,0,Graduate,No,13650,0.0,146,360,1,Urban,true
LP001356,Male,Yes,0,Graduate,No,4652,3583.0,146,360,1,Semiurban,true
LP001357,Male,Yes,0,Graduate,No,3816,754.0,160,360,1,Urban,true
LP001367,Male,Yes,1,Graduate,No,3052,1030.0,100,360,1,Urban,true
LP001369,Male,Yes,2,Graduate,No,11417,1126.0,225,360,1,Urban,true
LP001370,Male,No,0,Not Graduate,No,7333,0.0,120,360,1,Rural,false
LP001379,Male,Yes,2,Graduate,No,3800,3600.0,216,360,0,Urban,false
LP001384,Male,Yes,3,Not Graduate,No,2071,754.0,94,480,1,Semiurban,true
LP001385,Male,No,0,Graduate,No,5316,0.0,136,360,1,Urban,true
LP001387,Female,Yes,0,Graduate,No,2929,2333.0,139,360,1,Semiurban,true
LP001391,Male,Yes,0,Not Graduate,No,3572,4114.0,152,360,0,Rural,false
LP001392,Female,No,1,Graduate,Yes,7451,0.0,146,360,1,Semiurban,true
LP001398,Male,No,0,Graduate,No,5050,0.0,118,360,1,Semiurban,true
LP001401,Male,Yes,1,Graduate,No,14583,0.0,185,180,1,Rural,true
LP001404,Female,Yes,0,Graduate,No,3167,2283.0,154,360,1,Semiurban,true
LP001405,Male,Yes,1,Graduate,No,2214,1398.0,85,360,1,Urban,true
LP001421,Male,Yes,0,Graduate,No,5568,2142.0,175,360,1,Rural,false
LP001422,Female,No,0,Graduate,No,10408,0.0,259,360,1,Urban,true
LP001426,Male,Yes,0,Graduate,No,5667,2667.0,180,360,1,Rural,true
LP001430,Female,No,0,Graduate,No,4166,0.0,44,360,1,Semiurban,true
LP001431,Female,No,0,Graduate,No,2137,8980.0,137,360,0,Semiurban,true
LP001432,Male,Yes,2,Graduate,No,2957,0.0,81,360,1,Semiurban,true
LP001439,Male,Yes,0,Not Graduate,No,4300,2014.0,194,360,1,Rural,true
LP001443,Female,No,0,Graduate,No,3692,0.0,93,360,1,Rural,true
LP001448,Male,Yes,3,Graduate,No,23803,0.0,370,360,1,Rural,true
LP001449,Male,No,0,Graduate,No,3865,1640.0,146,360,1,Rural,true
LP001451,Male,Yes,1,Graduate,Yes,10513,3850.0,160,180,0,Urban,false
LP001465,Male,Yes,0,Graduate,No,6080,2569.0,182,360,1,Rural,false
LP001469,Male,No,0,Graduate,Yes,20166,0.0,650,480,1,Urban,true
LP001473,Male,No,0,Graduate,No,2014,1929.0,74,360,1,Urban,true
LP001478,Male,No,0,Graduate,No,2718,0.0,70,360,1,Semiurban,true
LP001482,Male,Yes,0,Graduate,Yes,3459,0.0,25,120,1,Semiurban,true
LP001487,Male,No,0,Graduate,No,4895,0.0,102,360,1,Semiurban,true
LP001488,Male,Yes,3,Graduate,No,4000,7750.0,290,360,1,Semiurban,false
LP001489,Female,Yes,0,Graduate,No,4583,0.0,84,360,1,Rural,false
LP001491,Male,Yes,2,Graduate,Yes,3316,3500.0,88,360,1,Urban,true
LP001492,Male,No,0,Graduate,No,14999,0.0,242,360,0,Semiurban,false
LP001493,Male,Yes,2,Not Graduate,No,4200,1430.0,129,360,1,Rural,false
LP001497,Male,Yes,2,Graduate,No,5042,2083.0,185,360,1,Rural,false
LP001498,Male,No,0,Graduate,No,5417,0.0,168,360,1,Urban,true
LP001504,Male,No,0,Graduate,Yes,6950,0.0,175,180,1,Semiurban,true
LP001507,Male,Yes,0,Graduate,No,2698,2034.0,122,360,1,Semiurban,true
LP001508,Male,Yes,2,Graduate,No,11757,0.0,187,180,1,Urban,true
LP001514,Female,Yes,0,Graduate,No,2330,4486.0,100,360,1,Semiurban,true
LP001516,Female,Yes,2,Graduate,No,14866,0.0,70,360,1,Urban,true
LP001518,Male,Yes,1,Graduate,No,1538,1425.0,30,360,1,Urban,true
LP001519,Female,No,0,Graduate,No,10000,1666.0,225,360,1,Rural,false
LP001520,Male,Yes,0,Graduate,No,4860,830.0,125,360,1,Semiurban,true
LP001528,Male,No,0,Graduate,No,6277,0.0,118,360,0,Rural,false
LP001529,Male,Yes,0,Graduate,Yes,2577,3750.0,152,360,1,Rural,true
LP001531,Male,No,0,Graduate,No,9166,0.0,244,360,1,Urban,false
LP001532,Male,Yes,2,Not Graduate,No,2281,0.0,113,360,1,Rural,false
LP001535,Male,No,0,Graduate,No,3254,0.0,50,360,1,Urban,true
LP001536,Male,Yes,3,Graduate,No,39999,0.0,600,180,0,Semiurban,true
LP001541,Male,Yes,1,Graduate,No,6000,0.0,160,360,1,Rural,true
LP001543,Male,Yes,1,Graduate,No,9538,0.0,187,360,1,Urban,true
LP001546,Male,No,0,Graduate,No,2980,2083.0,120,360,1,Rural,true
LP001552,Male,Yes,0,Graduate,No,4583,5625.0,255,360,1,Semiurban,true
LP001560,Male,Yes,0,Not Graduate,No,1863,1041.0,98,360,1,Semiurban,true
LP001562,Male,Yes,0,Graduate,No,7933,0.0,275,360,1,Urban,false
LP001565,Male,Yes,1,Graduate,No,3089,1280.0,121,360,0,Semiurban,false
LP001570,Male,Yes,2,Graduate,No,4167,1447.0,158,360,1,Rural,true
LP001572,Male,Yes,0,Graduate,No,9323,0.0,75,180,1,Urban,true
LP001574,Male,Yes,0,Graduate,No,3707,3166.0,182,360,1,Rural,true
LP001577,Female,Yes,0,Graduate,No,4583,0.0,112,360,1,Rural,false
LP001578,Male,Yes,0,Graduate,No,2439,3333.0,129,360,1,Rural,true
LP001579,Male,No,0,Graduate,No,2237,0.0,63,480,0,Semiurban,false
LP001580,Male,Yes,2,Graduate,No,8000,0.0,200,360,1,Semiurban,true
LP001581,Male,Yes,0,Not Graduate,No,1820,1769.0,95,360,1,Rural,true
LP001585,Male,Yes,3,Graduate,No,51763,0.0,700,300,1,Urban,true
LP001586,Male,Yes,3,Not Graduate,No,3522,0.0,81,180,1,Rural,false
LP001594,Male,Yes,0,Graduate,No,5708,5625.0,187,360,1,Semiurban,true
LP001603,Male,Yes,0,Not Graduate,Yes,4344,736.0,87,360,1,Semiurban,false
LP001606,Male,Yes,0,Graduate,No,3497,1964.0,116,360,1,Rural,true
LP001608,Male,Yes,2,Graduate,No,2045,1619.0,101,360,1,Rural,true
LP001610,Male,Yes,3,Graduate,No,5516,11300.0,495,360,0,Semiurban,false
LP001616,Male,Yes,1,Graduate,No,3750,0.0,116,360,1,Semiurban,true
LP001630,Male,No,0,Not Graduate,No,2333,1451.0,102,480,0,Urban,false
LP001633,Male,Yes,1,Graduate,No,6400,7250.0,180,360,0,Urban,false
LP001634,Male,No,0,Graduate,No,1916,5063.0,67,360,1,Rural,false
LP001636,Male,Yes,0,Graduate,No,4600,0.0,73,180,1,Semiurban,true
LP001637,Male,Yes,1,Graduate,No,33846,0.0,260,360,1,Semiurban,false
LP001639,Female,Yes,0,Graduate,No,3625,0.0,108,360,1,Semiurban,true
LP001640,Male,Yes,0,Graduate,Yes,39147,4750.0,120,360,1,Semiurban,true
LP001641,Male,Yes,1,Graduate,Yes,2178,0.0,66,300,0,Rural,false
LP001643,Male,Yes,0,Graduate,No,2383,2138.0,58,360,1,Rural,true
LP001644,Male,Yes,0,Graduate,Yes,674,5296.0,168,360,1,Rural,true
LP001647,Male,Yes,0,Graduate,No,9328,0.0,188,180,1,Rural,true
LP001653,Male,No,0,Not Graduate,No,4885,0.0,48,360,1,Rural,true
LP001656,Male,No,0,Graduate,No,12000,0.0,164,360,1,Semiurban,false
LP001657,Male,Yes,0,Not Graduate,No,6033,0.0,160,360,1,Urban,false
LP001658,Male,No,0,Graduate,No,3858,0.0,76,360,1,Semiurban,true
LP001664,Male,No,0,Graduate,No,4191,0.0,120,360,1,Rural,true
LP001665,Male,Yes,1,Graduate,No,3125,2583.0,170,360,1,Semiurban,false
LP001666,Male,No,0,Graduate,No,8333,3750.0,187,360,1,Rural,true
LP001669,Female,No,0,Not Graduate,No,1907,2365.0,120,360,1,Urban,true
LP001671,Female,Yes,0,Graduate,No,3416,2816.0,113,360,1,Semiurban,true
LP001673,Male,No,0,Graduate,Yes,11000,0.0,83,360,1,Urban,false
LP001674,Male,Yes,1,Not Graduate,No,2600,2500.0,90,360,1,Semiurban,true
LP001677,Male,No,2,Graduate,No,4923,0.0,166,360,0,Semiurban,true
LP001682,Male,Yes,3,Not Graduate,No,3992,0.0,146,180,1,Urban,false
LP001688,Male,Yes,1,Not Graduate,No,3500,1083.0,135,360,1,Urban,true
LP001691,Male,Yes,2,Not Graduate,No,3917,0.0,124,360,1,Semiurban,true
LP001692,Female,No,0,Not Graduate,No,4408,0.0,120,360,1,Semiurban,true
LP001693,Female,No,0,Graduate,No,3244,0.0,80,360,1,Urban,true
LP001698,Male,No,0,Not Graduate,No,3975,2531.0,55,360,1,Rural,true
LP001699,Male,No,0,Graduate,No,2479,0.0,59,360,1,Urban,true
LP001702,Male,No,0,Graduate,No,3418,0.0,127,360,1,Semiurban,false
LP001708,Female,No,0,Graduate,No,10000,0.0,214,360,1,Semiurban,false
LP001711,Male,Yes,3,Graduate,No,3430,1250.0,128,360,0,Semiurban,false
LP001713,Male,Yes,1,Graduate,Yes,7787,0.0,240,360,1,Urban,true
LP001715,Male,Yes,3,Not Graduate,Yes,5703,0.0,130,360,1,Rural,true
LP001716,Male,Yes,0,Graduate,No,3173,3021.0,137,360,1,Urban,true
LP001720,Male,Yes,3,Not Graduate,No,3850,983.0,100,360,1,Semiurban,true
LP001722,Male,Yes,0,Graduate,No,150,1800.0,135,360,1,Rural,false
LP001726,Male,Yes,0,Graduate,No,3727,1775.0,131,360,1,Semiurban,true
LP001732,Male,Yes,2,Graduate,No,5000,0.0,72,360,0,Semiurban,false
LP001734,Female,Yes,2,Graduate,No,4283,2383.0,127,360,1,Semiurban,true
LP001736,Male,Yes,0,Graduate,No,2221,0.0,60,360,0,Urban,false
LP001743,Male,Yes,2,Graduate,No,4009,1717.0,116,360,1,Semiurban,true
LP001744,Male,No,0,Graduate,No,2971,2791.0,144,360,1,Semiurban,true
LP001749,Male,Yes,0,Graduate,No,7578,1010.0,175,360,1,Semiurban,true
LP001750,Male,Yes,0,Graduate,No,6250,0.0,128,360,1,Semiurban,true
LP001751,Male,Yes,0,Graduate,No,3250,0.0,170,360,1,Rural,false
LP001754,Male,Yes,0,Not Graduate,Yes,4735,0.0,138,360,1,Urban,false
LP001758,Male,Yes,2,Graduate,No,6250,1695.0,210,360,1,Semiurban,true
LP001760,Male,Yes,0,Graduate,No,4758,0.0,158,480,1,Semiurban,true
LP001761,Male,No,0,Graduate,Yes,6400,0.0,200,360,1,Rural,true
LP001765,Male,Yes,1,Graduate,No,2491,2054.0,104,360,1,Semiurban,true
LP001768,Male,Yes,0,Graduate,No,3716,0.0,42,180,1,Rural,true
LP001770,Male,No,0,Not Graduate,No,3189,2598.0,120,360,1,Rural,true
LP001776,Female,No,0,Graduate,No,8333,0.0,280,360,1,Semiurban,true
LP001778,Male,Yes,1,Graduate,No,3155,1779.0,140,360,1,Semiurban,true
LP001784,Male,Yes,1,Graduate,No,5500,1260.0,170,360,1,Rural,true
LP001786,Male,Yes,0,Graduate,No,5746,0.0,255,360,1,Urban,false
LP001788,Female,No,0,Graduate,Yes,3463,0.0,122,360,1,Urban,true
LP001790,Female,No,1,Graduate,No,3812,0.0,112,360,1,Rural,true
LP001792,Male,Yes,1,Graduate,No,3315,0.0,96,360,1,Semiurban,true
LP001798,Male,Yes,2,Graduate,No,5819,5000.0,120,360,1,Rural,true
LP001800,Male,Yes,1,Not Graduate,No,2510,1983.0,140,180,1,Urban,false
LP001806,Male,No,0,Graduate,No,2965,5701.0,155,60,1,Urban,true
LP001807,Male,Yes,2,Graduate,Yes,6250,1300.0,108,360,1,Rural,true
LP001811,Male,Yes,0,Not Graduate,No,3406,4417.0,123,360,1,Semiurban,true
LP001813,Male,No,0,Graduate,Yes,6050,4333.0,120,180,1,Urban,false
LP001814,Male,Yes,2,Graduate,No,9703,0.0,112,360,1,Urban,true
LP001819,Male,Yes,1,Not Graduate,No,6608,0.0,137,180,1,Urban,true
LP001824,Male,Yes,1,Graduate,No,2882,1843.0,123,480,1,Semiurban,true
LP001825,Male,Yes,0,Graduate,No,1809,1868.0,90,360,1,Urban,true
LP001835,Male,Yes,0,Not Graduate,No,1668,3890.0,201,360,0,Semiurban,false
LP001836,Female,No,2,Graduate,No,3427,0.0,138,360,1,Urban,false
LP001841,Male,No,0,Not Graduate,Yes,2583,2167.0,104,360,1,Rural,true
LP001843,Male,Yes,1,Not Graduate,No,2661,7101.0,279,180,1,Semiurban,true
LP001844,Male,No,0,Graduate,Yes,16250,0.0,192,360,0,Urban,false
LP001846,Female,No,3,Graduate,No,3083,0.0,255,360,1,Rural,true
LP001849,Male,No,0,Not Graduate,No,6045,0.0,115,360,0,Rural,false
LP001854,Male,Yes,3,Graduate,No,5250,0.0,94,360,1,Urban,false
LP001859,Male,Yes,0,Graduate,No,14683,2100.0,304,360,1,Rural,false
LP001864,Male,Yes,3,Not Graduate,No,4931,0.0,128,360,1,Semiurban,false
LP001865,Male,Yes,1,Graduate,No,6083,4250.0,330,360,1,Urban,true
LP001868,Male,No,0,Graduate,No,2060,2209.0,134,360,1,Semiurban,true
LP001870,Female,No,1,Graduate,No,3481,0.0,155,36,1,Semiurban,false
LP001871,Female,No,0,Graduate,No,7200,0.0,120,360,1,Rural,true
LP001872,Male,No,0,Graduate,Yes,5166,0.0,128,360,1,Semiurban,true
LP001875,Male,No,0,Graduate,No,4095,3447.0,151,360,1,Rural,true
LP001877,Male,Yes,2,Graduate,No,4708,1387.0,150,360,1,Semiurban,true
LP001882,Male,Yes,3,Graduate,No,4333,1811.0,160,360,0,Urban,true
LP001883,Female,No,0,Graduate,No,3418,0.0,135,360,1,Rural,false
LP001884,Female,No,1,Graduate,No,2876,1560.0,90,360,1,Urban,true
LP001888,Female,No,0,Graduate,No,3237,0.0,30,360,1,Urban,true
LP001891,Male,Yes,0,Graduate,No,11146,0.0,136,360,1,Urban,true
LP001892,Male,No,0,Graduate,No,2833,1857.0,126,360,1,Rural,true
LP001894,Male,Yes,0,Graduate,No,2620,2223.0,150,360,1,Semiurban,true
LP001896,Male,Yes,2,Graduate,No,3900,0.0,90,360,1,Semiurban,true
LP001900,Male,Yes,1,Graduate,No,2750,1842.0,115,360,1,Semiurban,true
LP001903,Male,Yes,0,Graduate,No,3993,3274.0,207,360,1,Semiurban,true
LP001904,Male,Yes,0,Graduate,No,3103,1300.0,80,360,1,Urban,true
LP001907,Male,Yes,0,Graduate,No,14583,0.0,436,360,1,Semiurban,true
LP001908,Female,Yes,0,Not Graduate,No,4100,0.0,124,360,1,Rural,true
LP001910,Male,No,1,Not Graduate,Yes,4053,2426.0,158,360,0,Urban,false
LP001914,Male,Yes,0,Graduate,No,3927,800.0,112,360,1,Semiurban,true
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,true
LP001917,Female,No,0,Graduate,No,1811,1666.0,54,360,1,Urban,true
LP001922,Male,Yes,0,Graduate,No,20667,0.0,146,360,1,Rural,false
LP001924,Male,No,0,Graduate,No,3158,3053.0,89,360,1,Rural,true
LP001925,Female,No,0,Graduate,Yes,2600,1717.0,99,300,1,Semiurban,false
LP001926,Male,Yes,0,Graduate,No,3704,2000.0,120,360,1,Rural,true
LP001931,Female,No,0,Graduate,No,4124,0.0,115,360,1,Semiurban,true
LP001935,Male,No,0,Graduate,No,9508,0.0,187,360,1,Rural,true
LP001936,Male,Yes,0,Graduate,No,3075,2416.0,139,360,1,Rural,true
LP001938,Male,Yes,2,Graduate,No,4400,0.0,127,360,0,Semiurban,false
LP001940,Male,Yes,2,Graduate,No,3153,1560.0,134,360,1,Urban,true
LP001945,Female,No,0,Graduate,No,5417,0.0,143,480,0,Urban,false
LP001947,Male,Yes,0,Graduate,No,2383,3334.0,172,360,1,Semiurban,true
LP001949,Male,Yes,3,Graduate,No,4416,1250.0,110,360,1,Urban,true
LP001953,Male,Yes,1,Graduate,No,6875,0.0,200,360,1,Semiurban,true
LP001954,Female,Yes,1,Graduate,No,4666,0.0,135,360,1,Urban,true
LP001955,Female,No,0,Graduate,No,5000,2541.0,151,480,1,Rural,false
LP001963,Male,Yes,1,Graduate,No,2014,2925.0,113,360,1,Urban,false
LP001964,Male,Yes,0,Not Graduate,No,1800,2934.0,93,360,0,Urban,false
LP001972,Male,Yes,0,Not Graduate,No,2875,1750.0,105,360,1,Semiurban,true
LP001974,Female,No,0,Graduate,No,5000,0.0,132,360,1,Rural,true
LP001977,Male,Yes,1,Graduate,No,1625,1803.0,96,360,1,Urban,true
LP001978,Male,No,0,Graduate,No,4000,2500.0,140,360,1,Rural,true
LP001990,Male,No,0,Not Graduate,No,2000,0.0,146,360,1,Urban,false
LP001993,Female,No,0,Graduate,No,3762,1666.0,135,360,1,Rural,true
LP001994,Female,No,0,Graduate,No,2400,1863.0,104,360,0,Urban,false
LP001996,Male,No,0,Graduate,No,20233,0.0,480,360,1,Rural,false
LP001998,Male,Yes,2,Not Graduate,No,7667,0.0,185,360,1,Rural,true
LP002002,Female,No,0,Graduate,No,2917,0.0,84,360,1,Semiurban,true
LP002004,Male,No,0,Not Graduate,No,2927,2405.0,111,360,1,Semiurban,true
LP002006,Female,No,0,Graduate,No,2507,0.0,56,360,1,Rural,true
LP002008,Male,Yes,2,Graduate,Yes,5746,0.0,144,84,1,Rural,true
LP002024,Male,Yes,0,Graduate,No,2473,1843.0,159,360,1,Rural,false
LP002031,Male,Yes,1,Not Graduate,No,3399,1640.0,111,180,1,Urban,true
LP002035,Male,Yes,2,Graduate,No,3717,0.0,120,360,1,Semiurban,true
LP002036,Male,Yes,0,Graduate,No,2058,2134.0,88,360,1,Urban,true
LP002043,Female,No,1,Graduate,No,3541,0.0,112,360,1,Semiurban,true
LP002050,Male,Yes,1,Graduate,Yes,10000,0.0,155,360,1,Rural,false
LP002051,Male,Yes,0,Graduate,No,2400,2167.0,115,360,1,Semiurban,true
LP002053,Male,Yes,3,Graduate,No,4342,189.0,124,360,1,Semiurban,true
LP002054,Male,Yes,2,Not Graduate,No,3601,1590.0,146,360,1,Rural,true
LP002055,Female,No,0,Graduate,No,3166,2985.0,132,360,1,Rural,true
LP002065,Male,Yes,3,Graduate,No,15000,0.0,300,360,1,Rural,true
LP002067,Male,Yes,1,Graduate,Yes,8666,4983.0,376,360,0,Rural,false
LP002068,Male,No,0,Graduate,No,4917,0.0,130,360,0,Rural,true
LP002082,Male,Yes,0,Graduate,Yes,5818,2160.0,184,360,1,Semiurban,true
LP002086,Female,Yes,0,Graduate,No,4333,2451.0,110,360,1,Urban,false
LP002087,Female,No,0,Graduate,No,2500,0.0,67,360,1,Urban,true
LP002097,Male,No,1,Graduate,No,4384,1793.0,117,360,1,Urban,true
LP002098,Male,No,0,Graduate,No,2935,0.0,98,360,1,Semiurban,true
LP002100,Male,No,0,Graduate,No,2833,0.0,71,360,1,Urban,true
LP002101,Male,Yes,0,Graduate,No,63337,0.0,490,180,1,Urban,true
LP002103,Male,Yes,1,Graduate,Yes,9833,1833.0,182,180,1,Urban,true
